"aspace_uri","dob_count","dob_titles"
"/repositories/12/archival_objects/1002619",2,"[Preservica] ru_1055_2008-a-001_Hladkyj_Irene_transcript; [Preservica] ru_1055_2008-A-001_Hladkyj_Irene_transcript"
"/repositories/12/archival_objects/1002727",2,"[Preservica] ru_1055_2008-a-001_Schiavone_2005_transcript; [Preservica] ru_1055_2008-A-001_Schiavone_Joel_2005_transcript"
"/repositories/12/archival_objects/1008518",4,"[Preservica] ru_0001_s02_b820c; [Preservica] ru_0001_s02_b820a; [Preservica] ru_0001_s02_b820d; [Preservica] ru_0001_s02_b820b"
"/repositories/12/archival_objects/1012043",2,"[Preservica] ru_0049_s02_b034_f0448(*); [Preservica] ru_0049_s02_b034_f0449(*)"
"/repositories/12/archival_objects/1012045",3,"[Preservica] ru_0049_s02_b036_f0467(*); [Preservica] ru_0049_s02_b036_f0468(*); [Preservica] ru_0049_s02_b036_f0469(*)"
"/repositories/12/archival_objects/1012776",2,"[Preservica] ru_0049_s02_b124_f1610; [Preservica] ru_0049_s02_b124_f1611"
"/repositories/12/archival_objects/1013338",2,"[Preservica] ru_0049_s03_b214_f0890; [Preservica] ru_0049_s03_b214_f0891"
"/repositories/12/archival_objects/1065217",3,"[Preservica] ru_0690_s02_b112_f0383; [Preservica] ru_0690_s02_b112_f0384; [Preservica] ru_0690_s02_b112_f0385"
"/repositories/12/archival_objects/1070153",2,"[Preservica] ru_0957_2005-a-067_b009; [Preservica] ru_0957_2005-a-067_b010"
"/repositories/12/archival_objects/1070154",2,"[Preservica] ru_0957_2005-a-067_b007; [Preservica] ru_0957_2005-a-067_b008"
"/repositories/12/archival_objects/1070157",3,"[Preservica] ru_0957_2005-a-067_b012; [Preservica] ru_0957_2005-a-067_b013; [Preservica] ru_0957_2005-a-067_b014"
"/repositories/12/archival_objects/1070158",2,"[Preservica] ru_0957_2005-a-067_b015; [Preservica] ru_0957_2005-a-067_b016"
"/repositories/12/archival_objects/1070166",2,"[Preservica] ru_0957_2005-a-067_b023; [Preservica] ru_0957_2005-a-067_b024"
"/repositories/12/archival_objects/1070181",2,"[Preservica] ru_0957_2005-a-067_b035; [Preservica] ru_0957_2005-a-067_b036"
"/repositories/12/archival_objects/1070183",2,"[Preservica] ru_0957_2005-a-067_b038; [Preservica] ru_0957_2005-a-067_b039"
"/repositories/12/archival_objects/1070191",3,"[Preservica] ru_0957_2005-a-190_00007-00039; [Preservica] ru_0957_2005-a-190_00007-00039; [Preservica] ru_0957_2005-a-190_00007-00039"
"/repositories/12/archival_objects/1070590",2,"[Preservica] ru_0957_2009-a-190_01277-01396; [Preservica] ru_0957_2005-a-190_01277-01396"
"/repositories/12/archival_objects/1073908",3,"[Preservica] ru_0971_2006-a-127_b070; [Preservica] ru_0971_2006-a-127_b071; [Preservica] ru_0971_2006-a-127_b072"
"/repositories/12/archival_objects/1074811",2,"[Preservica] ru_0971_2007-a-086_b95u; [Preservica] ru_0971_s2007-a-086_b95u"
"/repositories/12/archival_objects/1074883",2,"[Preservica] ru_0971_2007-a-097_b41u; [Preservica] ru_0971_s2007-a-097_b41u"
"/repositories/12/archival_objects/1074960",3,"[Preservica] ru_0971_2007-a-133_b109; [Preservica] ru_0971_2007-a-133_b108; [Preservica] ru_0971_2007-a-133_b107"
"/repositories/12/archival_objects/1074961",3,"[Preservica] ru_0971_s2007-a-133_b112; [Preservica] ru_0971_s2007-a-133_b113; [Preservica] ru_0971_s2007-a-133_b111"
"/repositories/12/archival_objects/1074964",3,"[Preservica] ru_0971_s2007-a-133_b122; [Preservica] ru_0971_s2007-a-133_b123; [Preservica] ru_0971_s2007-a-133_b124"
