uri,original,update,info
/repositories/11/archival_objects/2695010,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695013,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695014,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695019,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2695020,['(13 folders)'],['13 folders'],200
/repositories/11/archival_objects/2695021,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2695022,['(11 folders)'],['11 folders'],200
/repositories/11/archival_objects/2695023,['(6 folders)'],['6 folders'],200
/repositories/11/archival_objects/2695025,['(9 folders)'],['9 folders'],200
/repositories/11/archival_objects/2695026,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695039,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695044,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2695508,['(8 folders)'],['8 folders'],200
/repositories/11/archival_objects/2695515,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695519,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695520,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695521,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695522,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2695523,['(17 folders)'],['17 folders'],200
/repositories/11/archival_objects/2695524,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2695656,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695695,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695698,['(7 folders)'],['7 folders'],200
/repositories/11/archival_objects/2695702,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695706,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2695711,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2695727,['(11 folders)'],['11 folders'],200
/repositories/11/archival_objects/2695728,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2696059,['(5 folders)'],['5 folders'],200
/repositories/11/archival_objects/2696060,['(12 folders)'],['12 folders'],200
/repositories/11/archival_objects/2696061,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2696062,['(6 folders)'],['6 folders'],200
/repositories/11/archival_objects/2696063,['(13 folders)'],['13 folders'],200
/repositories/11/archival_objects/2696066,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2696067,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2696093,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2696098,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2696099,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2696109,['(9 folders)'],['9 folders'],200
/repositories/11/archival_objects/2696119,['(22 folders)'],['22 folders'],200
/repositories/11/archival_objects/2696123,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2696152,['(3 folders)'],['3 folders'],200
/repositories/11/archival_objects/2686056,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2687385,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2285957,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/2687388,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2696166,['(9 folders)'],['9 folders'],200
/repositories/11/archival_objects/2696613,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2686071,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2687398,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/2689772,['(4 boxes)'],['4 boxes'],200
/repositories/11/archival_objects/2690045,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/2687821,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2718493,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2689690,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/2689724,['(3 boxes)'],['3 boxes'],200
/repositories/12/archival_objects/789758,['(1 envelope)'],['1 envelope'],200
/repositories/11/archival_objects/2689754,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/2689769,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/2695024,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2695033,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2696075,['(12 folders)'],['12 folders'],200
/repositories/11/archival_objects/2696165,['(4 folders)'],['4 folders'],200
/repositories/11/archival_objects/2696603,['(2 folders)'],['2 folders'],200
/repositories/11/archival_objects/2628293,['(2 folders)'],['2 folders'],200
/repositories/12/archival_objects/800298,"['(45 JPG, 101 TIF, 32 HTML, 1 PDF, 1 MPEG, 6 DOC, 3 TXT, 2 WPD, 31 Encapsulated PostScript, 4 Quark Xpress Data File, 1 OLE Compound Document, 1 AutoCAD Script, 1 MAC OSX Stationary, 1 Interleaf Document). ']","['45 JPG, 101 TIF, 32 HTML, 1 PDF, 1 MPEG, 6 DOC, 3 TXT, 2 WPD, 31 Encapsulated PostScript, 4 Quark Xpress Data File, 1 OLE Compound Document, 1 AutoCAD Script, 1 MAC OSX Stationary, 1 Interleaf Document. ']",200
/repositories/11/archival_objects/284352,['(1 computer disk)'],['1 computer disk'],200
/repositories/11/archival_objects/693751,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/704634,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/712614,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/276483,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/254449,['(4 boxes)'],['4 boxes'],200
/repositories/11/archival_objects/463163,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/560832,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/564850,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/564875,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/542815,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/230794,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/278232,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/574757,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/522965,['(5 boxes)'],['5 boxes'],200
/repositories/11/archival_objects/592703,['(12 boxes)'],['12 boxes'],200
/repositories/11/archival_objects/543881,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/459350,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/228744,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/669507,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/219491,['(6 boxes)'],['6 boxes'],200
/repositories/11/archival_objects/541183,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/555127,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/543728,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/514605,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/270576,['(52 boxes) + 3 broadside folders'],['52 boxes + 3 broadside folders'],200
/repositories/11/archival_objects/654037,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/693798,['(1 box)'],['1 box'],200
