Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59
level number,level type,unitid,,,title,extracted_comments,date expression,year begin,month begin,day begin,year end,month end,day end,bulk year begin,bulk month begin,bulk day begin,bulk year end,bulk month end,bulk day end,instance type,container 1 type,container profile,barcode,container 1 value / BOX by default,container 2 type,container 2 value / FOLDER by default,container 3 type,container 3 value,extent number,extent value,generic extent,generic physdesc,origination,bioghist,scope and content note,arrangement note,access restrictions,phystech,physloc (location note),use restrictions,language code,langmaterial note,other finding aid,custodhist,acqinfo,appraisal,accruals,originalsloc,alternative form available,related material,separated material,preferred citation,processing information,control access headings,"component @id (leave blank, unless value already present)",dao link,dao title,"system @id (leave blank, unless value already present)"
2,,,3923899,"Expo 67 : Exposition Universelle et Internationale, 1967",Expo 67 : Exposition Universelle et Internationale,Eng fre,,1967,,,,,,,,,,,,,,,,240,,#1,,,,,,,,,Centennial of Canadian Confederation,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913226,"Expo67 [Montreal], 1967",Expo67 [Montreal],eng fre,,1967,,,,,,,,,,,,,,,,164,,#1,,,,,,Expo67 [Montreal],,,Rolph-Clark-Stone Limited,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913225,"Expo67 Montréal, Canada, 1967","Expo67 Montréal, Canada",eng fre,,1967,,,,,,,,,,,,,,,,164,,#1,,,,,,Expo67 universal and international exhibition Montreal 1967,,,H.M. Gousha Co.,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3913238,"Expo67 Montréal, Canada, 1967","Expo67 Montréal, Canada",eng fre,,1967,,,,,,,,,,,,,,,,164,,#1,,,,,,,,,General Drafting Company,,,,,,fre,,,,,,,,,,,,,,,,,
2,,,3912820,"Frohe Fahrt durch Österreich = Map of Austria = Carte d'Austriche, 1959",Frohe Fahrt durch Österreich = Map of Austria = Carte d'Austriche,Ger eng fre,,1959,,,,,,,,,,,,,,,,161,,#1,,,,,,,,,G.M. Prutscher,,,,,,ger,,,,,,,,,,,,,,,,,
2,,,3913173,"General plan of the city of Drummondville and of the greater Drummondville = Plan general de la cite de Drummondville et du grand Drummondville, 1966",General plan of the city of Drummondville and of the greater Drummondville = Plan general de la cite de Drummondville et du grand Drummondville,eng fre,,1966,,,,,,,,,,,,,,,,163,,#1,,,,,,Drummond-Ville Québec/Canada,,,Canadian Marconi Company,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3913174,"General plan of the city of Drummondville and of the greater Drummondville = Plan general de la cite de Drummondville et du grand Drummondville, 1966",General plan of the city of Drummondville and of the greater Drummondville = Plan general de la cite de Drummondville et du grand Drummondville,eng fre,,1966,,,,,,,,,,,,,,,,163,,#1,,,,,,Drummond-Ville Québec/Canada,,,Canadian Marconi Company,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3912754,"Genova, 1961",Genova,ita eng fre ger spa,,1961,,,,,,,,,,,,,,,,236,,#1,,,,,,Pianta monumentale di Genova = Plan of central Genoa and its monuments = Plan de gênes monumentale = Mapa de Génova monumental = Stadtplan von Genua mit seinen Denkmälern und Bauten,,,Studio Cartografico Ligure,,,,,,ita,,,,,,,,,,,,,,,,,
2,,,3912980,"Gros Morne national park Newfoundland = Parc national du Gros Morne, 1990",Gros Morne national park Newfoundland = Parc national du Gros Morne,eng fre,,1990,,,,,,,,,,,,,,,,162,,#1,,,,,,Gros Morne national park Newfoundland = Parc national due Gros Morne Terre-Neuve,,,Canada. Minister of Supply and Services Canada,,,,,,eng,,,,,,,,,,,,,,,,,
2,,,3923902,"Guia de información y plano de La Habana, 1947",Guia de información y plano de La Habana,Eng spa,,1947,,,,,,,,,,,,,,,,240,,#1,,,,,,,,,[publisher not identified],,,,,,spa,,,,,,,,,,,,,,,,,
